"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"HOOP","slash",0.747945,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",21,3,"Identical",NA,NA,NA
"VOTE","slash",0.98492,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PENCIL","z",1.36502,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SEEK","slash",0.850085,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",10,4,"Identical",NA,NA,NA
"LETTER","z",1.284265,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CELL","z",0.85025,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FINGER","slash",0.71858,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",9,1,NA,NA,NA,"89"
"DEVIL","slash",0.655205,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",13,3,NA,NA,"16",NA
"SURE","z",0.852575,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SPOTS","z",0.73617,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STORE","z",0.850165,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NEWS","slash",1.91622,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SUBJECT","z",0.724385,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ENGLISH","z",0.928135,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STATES","slash",1.550845,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",33,4,"Identical",NA,NA,NA
"CARRY","z",0.811255,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
