"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"HEAR","slash",1.453965,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"TOUR","z",1.09733,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"HORSE","slash",1.1866,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",25,2,NA,NA,NA,NA
"EARLY","slash",1.126425,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",15,2,NA,NA,NA,NA
"NEPHEW","z",1.097915,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",28,3,NA,NA,NA,NA
"THREAD","slash",1.078505,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",12,1,NA,NA,NA,NA
"STEAL","slash",1.770195,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHORT","slash",1.658885,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",24,2,"Identical",NA,NA,NA
"LEARN","slash",1.84475,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",11,4,NA,NA,NA,NA
"WHOLE","z",1.438275,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",20,2,NA,NA,NA,NA
"NUMBER","slash",1.03782,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",5,3,NA,NA,NA,NA
"ROCK","slash",1.037245,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"COLLECT","slash",1.255225,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"GROSS","slash",2.55369,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",11,3,NA,NA,NA,NA
"BRANCH","slash",1.05666,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",25,1,"Identical",NA,NA,NA
"YEAR","z",1.07111,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FIRE","slash",1.011165,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MEAN","slash",0.972035,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"YOURS","slash",1.094105,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",5,2,NA,NA,NA,NA
"GEEK","z",0.888595,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",4,4,NA,NA,NA,NA
"THERE","slash",1.35772,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",27,2,NA,NA,NA,NA
"PAIN","z",1.70897,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",33,1,NA,NA,NA,NA
"ROAD","slash",0.991595,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"KNIFE","slash",0.95478,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CRACKER","slash",1.43713,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",9,3,"Identical",NA,NA,NA
"LOOK","slash",1.537265,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CHEESE","z",0.66278,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",25,3,NA,NA,NA,NA
"MAYBE","slash",0.453645,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LETTUCE","slash",0.78795,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SMELL","z",0.42205,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"REPEAT","slash",0.7267,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
