"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"SNEEZE","slash",0.950185,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MINIMUM","z",1.16815,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ENGLISH","slash",0.96816,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MOST","z",0.785005,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",33,1,"Identical",NA,NA,NA
"PENCIL","z",0.743205,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LEARN","z",0.683825,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",37,4,"Identical",NA,NA,NA
"DRUGS","z",0.55028,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STRESS","slash",1.23342,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"QUIET","slash",0.63586,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"PROPER","z",0.318195,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PAIN","slash",0.36712,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",15,1,NA,NA,NA,NA
"PRIDE","slash",0.68465,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"POTATO","slash",0.33471,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ITCH","z",0.234165,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DRESS","slash",0.11626,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"JEANS","z",0.600285,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"THROW","slash",0.683635,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",34,2,NA,NA,NA,NA
"DEVIL","z",0.58389,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",32,4,NA,NA,NA,NA
"SKIN","z",0.76939,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HUNGER","slash",0.67082,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",22,1,NA,NA,NA,NA
"SHERIFF","slash",1.18409,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SMART","slash",0.717205,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HAIR","slash",0.368295,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"QUEEN","z",0.219975,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",42,2,NA,NA,NA,NA
"GLORY","z",0.08379,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HELLO","z",0.79184,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NOSE","z",0.95365,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",20,1,"Identical",NA,NA,NA
"BLACK","slash",0.965465,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",20,4,"Identical",NA,NA,NA
"LAND","slash",0.516845,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",11,4,NA,NA,NA,NA
"GAME","slash",0.551735,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BALLET","z",0.750135,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",11,1,NA,NA,NA,NA
