Participant,Prime,Prime_Duration,rt,Response,Accuracy
RK2,LYNX,116.805,1530.31,LYNX,1
RK2,ERUPT,116.9,1181.95,ERUPT,1
RK2,PIAZZA,116.76,1389.185,PIZZA,0
RK2,MIDLAND,119.12,1665.685,MIDLAND,1
RK2,MUZZLE,115.24,1395.52,MUZZLE,1
RK2,REACTOR,117.615,1463.2,REACTOR,1
RK2,CORNER,116.865,1458.7,CORNER,1
RK2,WIND,117.495,1106.24,WIND,1
RK2,PEEP,116.775,1548.785,PEEP,1
RK2,CHEER,118.635,1123.76,CHEER,1
RK2,SPUNK,116.66,1715.03,SPUNK,1
RK2,UNEASY,117.42,1545.035,UNEASY,1
RK2,TRAITOR,117.705,1606.205,TRAITOR,1
RK2,VODKA,115.2,1760.14,VODKA,1
RK2,TOTALLY,117.805,1453.515,TOTALLY,1
RK2,KEEP,117.105,1350.705,KEE,1
RK2,MEET,116.885,1362.715,MEET,1
RK2,PULL,118.955,1473.045,PULL,1
RK2,FLAK,117.29,1469.7,LEAK,0
RK2,CHEAT,115.75,1133.81,CHEAT,1
RK2,SUIT,117.55,1548.115,UIT,1
RK2,FREAK,116.14,1664.08,FREAK,1
RK2,OPTION,118.465,1413.625,OPTION,1
SF,DAMAGE,116.475,2983.48,DAMAGE,1
SF,ERUPT,116.91,300.74,XXXXX,0
SF,LEND,118.935,1576.56,LEGEND,0
SF,KEEP,116.61,917.445,KEEP,1
SF,MEET,117.21,781.91,MEET,1
SF,SPAN,116.86,1401.885,SPAN,1
SF,EFFIGY,117.715,1666.49,EFFICIENT,0
SF,FAUNA,116.62,1832.56,FAUN,1
SF,PULL,115.71,833.67,PULL,1
SF,TRIVIA,116.635,1298.165,TRIVIA,1
SF,PEEP,116.75,532.515,XXXXX,0
SF,SPUN,115.305,983.065,SPUN,1
SF,CHEER,116.465,1497.885,CHEER,1
SF,MUZZLE,116.845,1265.795,MUZZLE,1
SF,STARK,116.75,1199.94,STAIR,0
SF,MORAL,118.86,1183.38,MORA,1
SF,VOID,116.15,817.33,VOIC,0
SF,RESUME,116.72,1616.735,RESUME,1
SF,VODKA,116.695,1249.87,VODKA,1
SF,CORNER,114.58,1151.91,CORNER,1
SF,HOSTEL,116.725,1597.98,HOTEL,0
SF,TOTALLY,117.08,1164.4,TOTALLY,1
SF,FREAK,116.66,2085.495,FREAK,1
SF,FOREST,117.27,1249.22,FOREST,1
SF,FLAK,115.035,2349.64,FLANK,0
SF,UNEASY,116.47,1714.205,UNEASY,1
SF,LYNX,117.3,281.305,XXXXX,0
SF,WIND,128.59,816.635,WIND,1
SF,MIDLAND,116.56,645.055,MN,0
SF,CHEAT,116.235,914.49,CHEAT,1
SF,TRAITOR,119.025,1799.085,TRAITOR,1
SF,REACTOR,118.63,1249.965,REACTOR,1
SF,SPUNK,116.68,1968.725,SPUNKL,1
SF,CLAW,115.37,451.445,XXXXX,0
SF,SUIT,114.1,900.23,SPI,0
SF,CEASE,116.255,932.015,EASE,1
SF,OPTION,116.645,1583.185,OPTION,1
SF,SNAP,117.3,283.205,XXXXX,0
SF,PIAZZA,116.38,1915.195,PIAZZA,1
SF,SHAVE,115.95,1216.79,SHAVE,1
KB,RESUME,89.015,8020.72,XXXXX,0
KB,FOREST,115.345,7997.205,FOREST,1
KB,ERUPT,115.45,7995.08,XXXXX,0
KB,CHEER,116.6,7993.13,CHEER,1
KB,TRIVIA,117.06,8015.82,TRIVIA,1
KB,OPTION,115.9,8006.505,OPTION,1
KB,TOTALLY,116.345,7991.01,TOTALLY,1
KB,CEASE,115.76,8000.87,CHEESE,0
KB,SPUN,127.715,7996.625,SPUN,1
KB,UNEASY,116.235,7991.9,UNEASY,1
KB,DAMAGE,116.365,7992.675,DAMAGE,1
KB,CORNER,114.325,8000.48,CORNER,1
KB,PEEP,116.655,8000.235,SLEEP,0
KB,SPUNK,115.455,7995.935,SPUNK,1
KB,PIAZZA,116.295,7989.01,PIAZZA,1
KB,SPAN,116.105,7995.7,SPAN,1
KB,STARK,116.815,8013.61,SPARK,0
KB,EFFIGY,116.4,8010.06,EFFIGY,1
KB,LEND,116.36,8003.21,BLEND,1
KB,LYNX,116.195,8007.17,LYNX,1
KB,MORAL,115.365,8001.935,MORAL,1
KB,FAUNA,116.015,8012.71,FAUNA,1
KB,PULL,116.14,8011.575,PULL,1
KB,CHEAT,122.63,8003.875,CHEAT,1
KB,MEET,219.025,8000.875,MEET,1
KB,CLAW,34.03,8002.235,CLAW,1
KB,FREAK,117.05,7990.075,FREAK,1
KB,SUIT,116.815,8008.035,SUIT,1
KB,SNAP,116.4,7998.53,SNAP,1
KB,MUZZLE,116.05,8007.03,MUZZLE,1
KB,SHAVE,16.235,7994.965,SHAVE,1
KB,VOID,150.015,7994.44,AVOID,1
KB,HOSTEL,128.18,8002.815,HOSTEL,1
KB,FLAK,138.155,8002.945,FLAKE,1
KB,REACTOR,124.05,7989.16,REACTOR,1
KB,KEEP,116.985,7998.9,KEEPS,1
KB,MIDLAND,116.765,7992.61,MIDLAND,1
KB,TRAITOR,117.265,7996.93,TRAILERS,0
