participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
JL,FARM,1167.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,D,7999.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,DONE,883.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,KNOW,4785.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,THERE,2633.31,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
JL,EXCUSE,3400.31,Studied,35,2,NA,14,Unrelated,HORSE,NA,NA
JL,EXCEPT,6116.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,BECAUSE,5399.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,ONE,1899.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,COVER,1400.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,PURPOSE,8004.08,Studied,2,2,NA,2,Related,AGREE,DISAGREE,NA
JL,WRONG,7495.93,Studied,15,2,Identical,19,Identical,WRONG,NA,NA
JL,TOOL,6166.165,Studied,33,2,NA,NA,NA,NA,NA,PLIERS
JL,SCREW,4071.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,SHALLO,3216.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,SHALLOW,2718.45,Studied,1,1,Identical,"13,32",Identical,SHALLOW,NA,NA
AP,STORE,2386.205,Studied,26,4,NA,"16,7",Related,ADDICT,DRUGS,NA
AP,PAPER,1702.605,Studied,2,3,NA,"7,3",Identical,PROPER,NA,NA
AP,ARM,4132.31,NA,NA,NA,NA,34,Related,LEGS,ARMS,NA
AP,HEAD,2436.15,Studied,9,2,NA,3,Related,PATIENT,DOCTOR,NA
AP,HAIR,4002.075,Studied,21,4,NA,NA,NA,NA,NA,NA
AP,DOOR,2752.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,SING,8002.42,Studied,25,4,NA,2,Unrelated,THREAD,NA,NA
AP,STICKY,2718.25,Studied,7,4,NA,4,Identical,MAYBE,NA,NA
AP,SICK,3333.485,Studied,29,4,NA,5,Identical,NONE,NA,NA
AP,APPLE,7116.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,DOG,1352.965,NA,NA,NA,NA,6,Identical,CELL,NA,NA
AP,SCARY,4220.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,CLOWN,1485.92,Studied,24,1,Identical,5,Identical,MARRY,NA,NA
AP,DARK,2732.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
